,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
54,0.696,0.48700000000000004,-11.392000000000001,0.0362,0.134,0.772,0.387,85.005
55,0.614,0.441,-12.363,0.0429,0.755,0.677,0.26,80.018
56,0.619,0.495,-12.242,0.0441,0.755,0.914,0.0653,163.78799999999998
57,0.8390000000000001,0.33399999999999996,-8.754,0.342,0.515,0.846,0.342,169.938
58,0.774,0.44299999999999995,-10.423,0.158,0.452,0.905,0.35100000000000003,160.028
59,0.602,0.42700000000000005,-16.154,0.0381,0.23199999999999998,0.845,0.5479999999999999,93.00399999999999
60,0.698,0.188,-18.003,0.218,0.88,0.956,0.0393,172.015
61,0.789,0.217,-14.084000000000001,0.0516,0.262,0.895,0.375,87.99600000000001
62,0.6920000000000001,0.502,-8.642000000000001,0.29600000000000004,0.773,0.00074,0.602,86.711
63,0.593,0.35600000000000004,-10.47,0.0565,0.935,0.732,0.11,143.934
64,0.705,0.504,-8.849,0.0516,0.682,0.889,0.33299999999999996,80.98899999999999
65,0.69,0.396,-9.299,0.0692,0.86,0.889,0.496,81.008
66,0.642,0.21600000000000003,-19.465,0.182,0.603,0.249,0.19399999999999998,184.05900000000003
67,0.767,0.222,-11.78,0.22,0.9059999999999999,0.905,0.115,164.15599999999998
68,0.732,0.294,-11.152999999999999,0.0376,0.818,0.919,0.278,85.05799999999999
69,0.682,0.11800000000000001,-15.888,0.10300000000000001,0.745,0.871,0.49700000000000005,76.012
70,0.532,0.263,-19.144000000000002,0.0361,0.982,0.821,0.264,69.979
71,0.736,0.341,-13.469000000000001,0.0829,0.6729999999999999,0.765,0.195,87.98899999999999
72,0.769,0.336,-9.427,0.0423,0.294,0.897,0.345,79.99
73,0.772,0.753,-7.54,0.34,0.0648,0.109,0.963,73.024
74,0.613,0.35,-9.187000000000001,0.0362,0.245,0.56,0.6459999999999999,170.067
75,0.284,0.273,-12.389000000000001,0.0402,0.993,0.9490000000000001,0.0829,185.726
76,0.8959999999999999,0.406,-9.222000000000001,0.192,0.457,0.708,0.665,91.934
77,0.6409999999999999,0.107,-22.34,0.0423,0.619,0.856,0.0392,136.00799999999998
78,0.8140000000000001,0.525,-11.822000000000001,0.11,0.41,0.887,0.523,86.994
79,0.6679999999999999,0.418,-10.383,0.161,0.782,0.8240000000000001,0.331,84.03
80,0.45899999999999996,0.207,-14.129000000000001,0.0306,0.7240000000000001,0.912,0.0715,180.301
81,0.7070000000000001,0.52,-10.959000000000001,0.31,0.24100000000000002,0.44799999999999995,0.42700000000000005,79.995
82,0.684,0.314,-14.227,0.0453,0.493,0.7509999999999999,0.3,74.993
83,0.873,0.126,-14.635,0.0688,0.537,0.573,0.0707,105.042
84,0.45399999999999996,0.285,-8.311,0.0512,0.615,0.895,0.336,143.67600000000002
85,0.76,0.32799999999999996,-11.584000000000001,0.0723,0.7,0.8740000000000001,0.195,79.994
86,0.47200000000000003,0.475,-10.148,0.0463,0.435,0.617,0.61,173.699
