,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,clusters
93,On the Road,Tibeauthetraveler,spotify:track:3atGqPz2Zwfmnm1e3NiIGU,0.755,0.259,-12.205,0.043,0.73,0.91,0.128,119.956,2
94,Time Away,Slowheal,spotify:track:3XtzMSNxW0vBJaCv9pSLQa,0.762,0.342,-10.588,0.0499,0.66,0.8390000000000001,0.518,86.993,13
95,Over You,Byjoelmichael,spotify:track:19nHtOt3U7llh1s4XBpZ7g,0.623,0.5820000000000001,-10.936,0.0368,0.18899999999999997,0.927,0.0709,84.99600000000001,13
96,Koffie & Sukker,Hoffy Beats,spotify:track:7xpWUZ7pHcuAHUQqHeJKEX,0.731,0.2,-13.425999999999998,0.0529,0.804,0.9079999999999999,0.0966,80.003,13
97,Rainy Afternoon,Chill Beats Music,spotify:track:3nZKjSxHPhOah5tZqTsWh6,0.7170000000000001,0.23,-11.22,0.0312,0.9420000000000001,0.843,0.54,74.99600000000001,13
98,Memoir,damaa.beats,spotify:track:1LOLpKd5s45eg1kymYhVMK,0.813,0.183,-12.539000000000001,0.08900000000000001,0.865,0.53,0.27,114.008,13
99,Next World Awaits,Chill Beats Music,spotify:track:7HQq47HjT812GwQZaaFEW6,0.7929999999999999,0.281,-10.79,0.0873,0.8140000000000001,0.758,0.48200000000000004,89.948,13
100,Beauty,Chill Beats Music,spotify:track:6EUUmzdCjRl3vXJjuPACFw,0.62,0.294,-11.477,0.0369,0.8590000000000001,0.889,0.19699999999999998,80.008,13
101,Guru Jazz / Dope Wax,Worldtraveller,spotify:track:1Ki1OiSsBhFgFhoQx2jN6R,0.777,0.222,-14.786,0.0737,0.0555,0.778,0.39399999999999996,84.99700000000001,13
102,Veranda,Oaty.,spotify:track:17yupQl8zNOxvuJSSPnIRS,0.79,0.33799999999999997,-13.089,0.0602,0.7340000000000001,0.887,0.34,75.001,13
103,Reflection,Maadrhino,spotify:track:64cmP6CYyWIysqaUWGuMJY,0.851,0.129,-18.5,0.0809,0.875,0.9359999999999999,0.7190000000000001,120.023,2
104,Mellow Vibes,Zmeyev,spotify:track:2llkqYQ3fAcPRGJ1jGpWs7,0.764,0.491,-8.754,0.0664,0.618,0.812,0.474,90.02799999999999,13
105,Home Sweet Home,Chill Beats Music,spotify:track:1he13zavJnREhcqeFx92k6,0.718,0.226,-13.542,0.0657,0.77,0.8190000000000001,0.17300000000000001,80.01,13
106,Fading Mist,Mr. Käfer,spotify:track:6Zjsl9f98ywJ1T6yvMNFaZ,0.589,0.302,-12.464,0.0348,0.905,0.899,0.28300000000000003,82.946,13
107,Feather Flight,BluntOne,spotify:track:7ayJ2rng5nZDnj1QxAdIgs,0.736,0.17800000000000002,-11.69,0.0515,0.19899999999999998,0.6859999999999999,0.387,118.152,13
108,Time Travel,Kaspa.,spotify:track:7L6A9orD7a1k9ApdlicsFj,0.522,0.0426,-21.969,0.0344,0.953,0.536,0.17,81.08800000000001,13
109,After the Rain,Bcalm,spotify:track:7IjyZFEEAV8BeZvf6mkKNK,0.688,0.235,-13.752,0.0306,0.835,0.856,0.10099999999999999,139.987,2
110,Gloom,mvnitou,spotify:track:32r7l0AY1m3v1gYEf33Sli,0.778,0.28300000000000003,-10.115,0.389,0.826,0.528,0.365,76.94800000000001,6
111,District Line,7&Nine,spotify:track:1xMaqoFgvGhJ7If5NLcJg5,0.631,0.275,-14.524000000000001,0.0367,0.8240000000000001,0.625,0.145,143.994,2
112,Ghost Planet,Purrple Cat,spotify:track:0q9e7CbZ5SCiFUjsCrjA3l,0.8029999999999999,0.263,-15.742,0.0349,0.7929999999999999,0.9229999999999999,0.161,116.023,2
113,Stop,Goson,spotify:track:4fVKLNpMApddBUgLpvQ7IM,0.635,0.354,-9.377,0.0453,0.59,0.8859999999999999,0.316,80.002,13
114,This Must Be Love,RenBoz,spotify:track:65Rtcl4zewEQMWBBaSafrO,0.823,0.513,-7.675,0.0474,0.514,0.39299999999999996,0.49700000000000005,83.01799999999999,0
115,Longing for Rain,SicknessMP,spotify:track:0g8cJnZnKIrKJOt74VyXDL,0.8340000000000001,0.233,-13.418,0.0596,0.00224,0.7290000000000001,0.762,86.094,13
116,Will You Fly With Me,Downtown Owl,spotify:track:56OB1wXrkYTAfPOTZUMA9M,0.76,0.387,-9.362,0.124,0.196,0.736,0.43200000000000005,165.821,11
