,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1071,Change (In the House of Flies),Deftones,spotify:track:51c94ac31swyDQj9B3Lzs3,0.269,0.853,-4.647,0.0854,0.000249,0.000246,0.179,141.581
1072,Check My Brain,Alice In Chains,spotify:track:2O2ii9OPZYh1NBXo9FtE0Y,0.441,0.845,-3.315,0.0462,3.28e-06,0.0533,0.304,113.989
1073,"Cheer Up, Boys (Your Make Up Is Running)",Foo Fighters,spotify:track:5w4s2ccJcpiNlajHVGtHDg,0.466,0.965,-3.115,0.0536,7.28e-06,0.00063,0.574,141.59
1074,Cherub Rock - Remastered 2011,The Smashing Pumpkins,spotify:track:0F2LiyHp9E0pAanpfnzHNp,0.371,0.866,-7.426,0.039,5.91e-06,0.58,0.447,87.254
1075,Circles,Incubus,spotify:track:7mTkoZVipBiefh6tFEkVy3,0.336,0.832,-5.51,0.039,8.27e-05,3.69e-05,0.247,89.561
1076,Cocaine,Eric Clapton,spotify:track:2udGjDmpK1dH9VGyw7nrei,0.699,0.502,-12.526,0.0278,0.0607,0.0337,0.676,105.267
1077,Cochise,Audioslave,spotify:track:1TDk2Jmi4dVZhm2dum3Jim,0.452,0.873,-4.867,0.0613,0.000519,0.0,0.433,80.473
1078,Come As You Are,Nirvana,spotify:track:2RsAajgo0g7bMCHxwH3Sk0,0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.539,120.125
1079,Comfortably Numb,Pink Floyd,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,0.472,0.366,-12.595,0.0286,0.15,0.308,0.171,127.167
1080,Cover Me,Candlebox,spotify:track:4sSH44J2qQnbgW9QC9ACy6,0.591,0.638,-6.958,0.029,0.00619,4.69e-06,0.348,131.113
1081,Crackerman,Stone Temple Pilots,spotify:track:6YriRGx8OthWMafuZtgzxl,0.396,0.958,-7.778,0.0517,6.28e-05,6.58e-06,0.499,149.324
1082,Crawling,Linkin Park,spotify:track:57BrRMwf9LrcmuOsyGilwr,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.299,105.076
1083,Creep,Radiohead,spotify:track:3HfB5hBU0dmBt8T0iCmH42,0.532,0.344,-13.057,0.035,0.00563,0.000473,0.126,91.834
1084,Creep,Stone Temple Pilots,spotify:track:16x4zrgor3ewwEbPgSrTAB,0.66,0.567,-6.318,0.0289,0.00428,0.0137,0.182,107.754
1085,Cult of Personality,Living Colour,spotify:track:1E4r8aMHDP3j2tq8atKzzt,0.514,0.846,-7.095,0.0458,0.00181,0.000128,0.589,92.178
1086,Dam That River,Alice In Chains,spotify:track:22Ntyke0ZDZy2Uuf8BEDkU,0.427,0.913,-5.545,0.0806,0.00647,0.0,0.47,124.421
1087,Dani California,Red Hot Chili Peppers,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.73,96.184
1088,Dark Necessities,Red Hot Chili Peppers,spotify:track:2oaK4JLVnmRGIO9ytBE1bt,0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.197,91.959
1089,Daughter (Remastered),Pearl Jam,spotify:track:53eJFr4Mfbw5PXJ01K6cFw,0.615,0.702,-9.686,0.0278,0.00746,0.00431,0.734,96.99
1090,De Música Ligera - Remasterizado 2007,Soda Stereo,spotify:track:0Ruvs5IxqkGqQVWCO2oRpw,0.537,0.749,-6.335,0.0284,0.000611,0.525,0.734,124.232
1091,Dead & Bloated,Stone Temple Pilots,spotify:track:658Ng56tIu4gb5gFDuXNcY,0.563,0.808,-7.876,0.0549,0.000154,7.22e-05,0.553,123.013
1092,Good Times Bad Times - 1993 Remaster,Led Zeppelin,spotify:track:0QwZfbw26QeUoIy82Z2jYp,0.476,0.717,-9.192,0.0949,0.0382,7.61e-05,0.753,93.584
1093,Gasoline,Audioslave,spotify:track:33AxY0QUitvte6JV6B6uLE,0.379,0.716,-4.312,0.0326,0.000272,0.00123,0.239,92.721
1094,Freedom,Rage Against The Machine,spotify:track:1zVE9JBBy8j0KmlbM8Xwhi,0.499,0.613,-8.53,0.0953,0.00061,0.0225,0.531,113.577
1095,Serenity,Godsmack,spotify:track:7BXGqNpEjDjuKhPIF4zd2f,0.686,0.686,-5.17,0.0235,0.0297,9.09e-06,0.308,110.159
1096,From The Pinnacle To The Pit,Ghost,spotify:track:68OVKwrzkwGqQZIm9MVwUK,0.47,0.929,-4.26,0.0569,8.36e-05,0.147,0.451,89.984
1097,The Gift of Guilt,Gojira,spotify:track:5ke0lqEJZM2nAD3aRMxfV2,0.197,0.977,-5.63,0.0693,9.78e-05,0.694,0.0819,157.221
1098,Give It Away,Red Hot Chili Peppers,spotify:track:0uppYCG86ajpV2hSR3dJJ0,0.666,0.936,-9.919,0.0476,0.00244,0.086,0.776,91.577
1099,Given to Fly,Pearl Jam,spotify:track:4oLU3WLmbQD2jPduqMToyR,0.324,0.728,-8.413,0.0259,0.000162,0.0429,0.412,101.145
1100,Go (Remastered),Pearl Jam,spotify:track:7M1L2Cv5025QeywNsdfPDK,0.468,0.863,-7.037,0.0493,4.34e-06,0.334,0.377,140.267
1101,Go Robot,Red Hot Chili Peppers,spotify:track:5m578MgxuEC956dulprCe8,0.852,0.651,-6.254,0.0411,0.0432,0.0192,0.96,131.01
1102,Go With The Flow,Queens of the Stone Age,spotify:track:0wzRcekWyVCSyPtlPOeJau,0.246,0.991,-3.903,0.087,0.00944,0.0753,0.415,159.39
1103,Goliath,Karnivool,spotify:track:1Jnp6In3o2qarJS6mPP8px,0.266,0.901,-4.155,0.0775,0.000131,0.00109,0.538,131.262
1104,Gonna See My Friend,Pearl Jam,spotify:track:36zuLMpjMfxtLCECsuK9FR,0.464,0.967,-4.233,0.0507,1.69e-05,0.000677,0.855,150.038
1105,Grease Box,Tad,spotify:track:1OCDCVzQVxVm2HceeEJTzm,0.414,0.851,-6.875,0.0548,1.41e-05,0.14,0.681,132.43
1106,Hard To See,Five Finger Death Punch,spotify:track:4pPjyFgDbLe4TpKdg5ZJqH,0.513,0.976,-3.117,0.17,4.62e-06,0.00034,0.133,111.992
1107,Heart-Shaped Box,Nirvana,spotify:track:5CsjhePtc1FN7ecxqhzWDm,0.255,0.684,-10.245,0.067,0.202,0.0289,0.271,201.8
1108,Heaven Beside You,Alice In Chains,spotify:track:1DCdIWCE5UFiObCsTSpKFv,0.552,0.725,-7.09,0.0319,0.00451,0.000158,0.558,111.243
1109,High and Dry,Radiohead,spotify:track:1daWG6AYC20lWevL2r1Rm2,0.421,0.418,-9.549,0.0254,0.0655,0.0449,0.363,87.877
1110,High Road,Mastodon,spotify:track:4coYVm83MTdcEKlWcbU4Zh,0.428,0.957,-3.201,0.0565,6.53e-06,0.0213,0.467,144.086
1111,The Hollow,A Perfect Circle,spotify:track:4XDBEoD6QFnzDY5oMmNVXN,0.295,0.789,-5.559,0.0702,0.000166,0.0898,0.515,104.135
1112,Hollow,Alice In Chains,spotify:track:5up1mp8VZjc8kA3QiwPQhW,0.454,0.834,-4.447,0.0352,2.24e-05,0.59,0.182,97.981
1113,The House Of Wolves,Bring Me The Horizon,spotify:track:77aRSy9dTVpG9naxEDd7n6,0.428,0.977,-2.256,0.154,0.0001,0.0,0.279,75.98
1114,"Hook, Line & Sinker",Royal Blood,spotify:track:35lBL83KZl80dHivikZKEq,0.51,0.896,-5.217,0.0363,0.000614,1.5e-05,0.492,88.034
1115,How Did We Get So Dark?,Royal Blood,spotify:track:51txLjbvSBRvtxjCjAFLkM,0.568,0.871,-5.235,0.0494,0.00177,0.000406,0.693,133.064
1116,Howlin' For You,The Black Keys,spotify:track:5jdvRj8zXHJ7XpKsBKT9CZ,0.708,0.737,-6.665,0.0943,0.0299,0.0804,0.476,132.612
1117,Hump de Bump,Red Hot Chili Peppers,spotify:track:5f2ZVFERwwh3asebmurZEf,0.685,0.971,-3.153,0.0362,0.142,7.04e-06,0.899,111.926
1118,Hunter Eats Hunter,Chevelle,spotify:track:6LxszpIXLH0spTVFZo1Fe5,0.425,0.852,-5.977,0.0525,2.8e-05,0.118,0.138,147.013
1119,Hysteria,Muse,spotify:track:7xyYsOvq5Ec3P4fr6mM9fD,0.412,0.92,-4.852,0.0575,0.000456,0.0026,0.455,93.162
1120,I Miss You,Incubus,spotify:track:0ZVorBFSmsJBE0pczFzIvk,0.666,0.603,-7.314,0.0258,0.00031,0.00131,0.195,116.84
1121,I Only Lie When I Love You,Royal Blood,spotify:track:1LbwMX3159t6QxG3u7DRWe,0.65,0.886,-4.821,0.0483,0.00111,0.000129,0.88,124.013
1122,I Sat By The Ocean,Queens of the Stone Age,spotify:track:7oXRMDUzBPekkLRTJhSGvC,0.516,0.781,-4.004,0.0364,0.00136,0.000735,0.897,116.793
1123,I Stay Away,Alice In Chains,spotify:track:6HnZsLUDrG3HTSbh8sq2u3,0.224,0.782,-7.065,0.04,0.0446,0.00355,0.267,81.794
1124,I-E-A-I-A-I-O,System Of A Down,spotify:track:17cKTJIWIHTeTmdgNs77DL,0.626,0.791,-2.734,0.0721,0.000126,0.0219,0.433,133.204
1125,Immigrant Song - 1990 Remaster,Led Zeppelin,spotify:track:6kjlvJLh2DBsSQtqVzFh8I,0.574,0.926,-10.79,0.0562,0.00031,0.478,0.609,113.097
1126,In Bloom - Nevermind Version,Nirvana,spotify:track:2mvffzYUJ9Ld9xhsF5DUjU,0.436,0.876,-4.902,0.0647,3.33e-05,0.000104,0.512,157.044
1127,In My Head,Queens of the Stone Age,spotify:track:6wnb2fitY3ZGOBFHl5TNBk,0.475,0.915,-4.067,0.0368,0.0104,5.21e-05,0.433,134.304
1128,In The Clear,Foo Fighters,spotify:track:0MXosG7BdA9uukm88V7zAD,0.562,0.754,-5.686,0.0634,6.55e-05,0.0459,0.474,132.965
1129,Indifference (Remastered),Pearl Jam,spotify:track:37x0jGGt2DmpGSz6AsVePq,0.303,0.28,-12.697,0.0297,0.929,0.00185,0.245,102.221
1130,Infallible,Pearl Jam,spotify:track:6BaVlhD1jx0iQzJ7GqEJ17,0.516,0.783,-6.285,0.0276,0.00877,2.12e-06,0.61,152.004
1131,Interstate Love Song,Stone Temple Pilots,spotify:track:600s08VdbjiyAjDGDjYSFI,0.214,0.947,-5.053,0.0507,0.000552,0.00352,0.483,170.616
1132,An Island,Chevelle,spotify:track:6wFo6rUHPk69QrZWRelFUH,0.477,0.856,-5.919,0.0497,4.15e-05,0.352,0.354,95.976
1133,Jawbreaker,Chevelle,spotify:track:2cvR00Xja0qxDaRv8DeERP,0.49,0.875,-5.514,0.056,5.42e-06,0.641,0.327,114.971
1134,Jeremy,Pearl Jam,spotify:track:62nQ8UZVqR2RMvkJHkcO2o,0.285,0.846,-6.472,0.0438,0.0404,0.0,0.287,108.808
1135,Karma Police,Radiohead,spotify:track:4toSP60xmDNCFuXly8ywNZ,0.36,0.505,-9.129,0.026,0.0626,9.22e-05,0.317,74.807
1136,Killing In the Name,Rage Against The Machine,spotify:track:3FUS56gKr9mVBmzvlnodlh,0.457,0.779,-6.323,0.257,0.0185,2.04e-06,0.734,86.573
1137,Know Your Enemy,Rage Against The Machine,spotify:track:1IDAJagxB9AQjjYXaiDK1j,0.574,0.765,-7.755,0.128,0.0141,0.00378,0.613,117.636
1138,Last Kiss,Pearl Jam,spotify:track:3RErQfC1s2idTehzBKu4Dh,0.603,0.749,-4.756,0.0281,0.211,0.0,0.752,112.135
1139,Leash (Remastered),Pearl Jam,spotify:track:52FlqmFHKaTV0dDMEe0F4F,0.423,0.921,-5.555,0.0583,7.67e-05,0.0116,0.366,103.431
1140,The Less I Know The Better,Tame Impala,spotify:track:4g3Ax56IslQkI6XVfYKVc5,0.64,0.755,-4.077,0.0287,0.0138,0.0208,0.744,116.883
1141,Let It Happen,Tame Impala,spotify:track:068LmtzI6xJJDPfPnMje0U,0.602,0.874,-5.906,0.0428,0.00476,0.0192,0.612,125.017
1142,Light Years,Pearl Jam,spotify:track:0KWvfDCxfazDLfVqmmvvzm,0.388,0.726,-6.911,0.0341,0.0447,0.113,0.746,205.07
1143,Life Wasted,Pearl Jam,spotify:track:4E938GnJH2e4dtImtRpjpX,0.386,0.958,-4.297,0.0645,0.00134,1.18e-06,0.497,141.965
1144,Lightning Bolt,Pearl Jam,spotify:track:7wOlGqDSHreqw8gNNjZlE3,0.481,0.888,-6.194,0.0308,0.00162,3.82e-05,0.816,151.024
1145,Lights Out,Royal Blood,spotify:track:1060gzllf4b0UETAXisR5l,0.501,0.824,-7.25,0.0413,0.000127,0.000311,0.57,89.972
1146,Lithium,Nirvana,spotify:track:5vHLwhxxlGzmClMcxRRFPr,0.678,0.656,-6.41,0.0381,0.00174,0.0,0.485,123.207
1147,Long Road To Ruin,Foo Fighters,spotify:track:0bORa4VpL8NzyMXEI6UFGK,0.401,0.888,-3.793,0.0401,0.000367,0.0,0.365,146.781
1148,Look Around,Red Hot Chili Peppers,spotify:track:4RU7rnJBOXCzWmsLDqUaFC,0.56,0.953,-2.372,0.0851,0.005,1.6e-05,0.519,111.911
1149,Lotus Flower,Radiohead,spotify:track:22cmWcCul4Px0b4rnC4fxo,0.725,0.686,-8.796,0.0316,0.0904,0.449,0.661,128.018
1150,Love Hurts,Incubus,spotify:track:5JTgqOeHWg4bxMZYMRTE4H,0.474,0.805,-4.063,0.0266,0.0129,2.51e-06,0.409,78.102
1151,"Love, Hate, Love",Alice In Chains,spotify:track:2YolSRrYvFxhTGjbiT33yH,0.323,0.633,-9.014,0.0402,0.00783,0.000112,0.209,103.978
1152,The Gold It's in the...,Pink Floyd,spotify:track:2ON80h9ZjmY0WBpVz8OPjU,0.507,0.506,-11.746,0.0409,3.77e-05,0.000695,0.386,117.554
1153,Echoes,Pink Floyd,spotify:track:7kriFJLY2KOhw5en9iI2jb,0.285,0.322,-16.58,0.044,0.366,0.651,0.142,134.042
1154,Break Stuff,Limp Bizkit,spotify:track:4WJNMSihHL8e4hs9SkBq9C,0.432,0.884,-6.659,0.13,0.0127,0.000527,0.624,108.948
1155,Nookie,Limp Bizkit,spotify:track:47Wf9dKEHGptcL1lyQIsZk,0.573,0.929,-5.996,0.082,0.00218,0.0723,0.284,97.57
1156,Caught In A Mosh,Anthrax,spotify:track:6AlUhxZG6lcSBJlFEG2Mgp,0.366,0.963,-11.591,0.0708,0.000308,0.000326,0.131,106.528
1157,Madhouse,Anthrax,spotify:track:6DRvu6LgU0wRF6Yr7WHRji,0.331,0.79,-11.612,0.078,0.00279,0.0953,0.604,163.479
1158,Indians,Anthrax,spotify:track:6wgZspzGPlGRgXvv7lhprq,0.336,0.942,-10.433,0.0379,0.000797,0.000494,0.519,105.496
1159,Symphony Of Destruction,Megadeth,spotify:track:51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,-5.452,0.0587,0.000805,0.0928,0.51,139.903
1160,Tornado Of Souls - Remastered 2004,Megadeth,spotify:track:4E5xVW505akJX0wcKj8Mpd,0.519,0.982,-3.547,0.108,0.00203,0.00055,0.361,97.745
1161,A Tout Le Monde - Remastered 2004,Megadeth,spotify:track:6olS0TmHmsGr0hXtcBsiVM,0.272,0.747,-4.86,0.0401,0.000393,4.03e-05,0.255,202.777
1162,N.I.B.,Black Sabbath,spotify:track:62oNfnQqObaqARM0DTibAL,0.476,0.556,-10.586,0.0646,0.0838,1.59e-05,0.43,103.122
1163,Bark at the Moon,Ozzy Osbourne,spotify:track:2E7W1X4maFFcjHrVrFA7Vs,0.303,0.961,-5.333,0.243,0.00253,6.2e-05,0.305,146.591
1164,Shot in the Dark,Ozzy Osbourne,spotify:track:31dqpLUModJWNbxrXu6TWd,0.581,0.791,-7.262,0.0324,0.00835,6.02e-05,0.619,123.887
1165,Dreamer,Ozzy Osbourne,spotify:track:78PKCefXwDLbl4FVO1Pjzh,0.493,0.636,-7.408,0.0256,0.0629,2.49e-06,0.279,79.419
1166,No More Tears,Ozzy Osbourne,spotify:track:7w6PJe5KBPyvuRYxFkPssC,0.346,0.749,-6.506,0.035,0.00167,8.86e-05,0.315,102.591
1167,"Mama, I'm Coming Home",Ozzy Osbourne,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,0.282,0.656,-6.557,0.0302,0.0105,0.0,0.242,139.352
1168,Crazy Train,Ozzy Osbourne,spotify:track:2b9lp5A6CqSzwOrBfAFhof,0.453,0.905,-4.001,0.115,0.36,0.000569,0.474,137.571
1169,Paranoid,Black Sabbath,spotify:track:1jzDzZWeSDBg5fhNc3tczV,0.429,0.631,-11.514,0.0769,7.85e-05,0.00411,0.376,162.734
1170,Iron Man,Black Sabbath,spotify:track:0TI8TP4FitVPoEHPTySx48,0.332,0.769,-11.503,0.0765,0.00367,0.00413,0.525,157.378
1171,War Pigs,Black Sabbath,spotify:track:0W35nxtHtFlseSojmygEsf,0.464,0.612,-12.019,0.0591,0.116,0.00559,0.496,91.499
1172,Children of the Grave,Black Sabbath,spotify:track:3ZuVfQriS93y6ofwbIf7lp,0.311,0.658,-13.529,0.0406,0.0706,0.104,0.353,151.813
1173,Heaven and Hell - 2009 Remaster,Black Sabbath,spotify:track:3HzWxmvpQU3QHQ59zw1X4V,0.333,0.445,-16.343,0.0283,0.00858,0.0451,0.35,89.371
1174,Changes,Black Sabbath,spotify:track:4MpIwDaZdFLafMDcAx4k4q,0.289,0.238,-12.244,0.0326,0.0421,2.73e-05,0.187,81.264
1175,Sabbath Bloody Sabbath,Black Sabbath,spotify:track:2CzKVfVA9U7OKbIpAVPZOk,0.361,0.631,-9.215,0.0356,0.404,9.9e-05,0.541,137.757
1176,Ace Of Spades,Motörhead,spotify:track:47FyQCd3TYLrZ9TU6MPaWK,0.324,0.991,-4.465,0.197,0.00247,0.00895,0.195,140.245
1177,Black Night,Deep Purple,spotify:track:46VaDtbrBj929FWnUdTQV0,0.531,0.842,-10.368,0.113,0.0418,0.0567,0.84,134.661
1178,Always,Bon Jovi,spotify:track:0kish3Tobj6Wq0we74343q,0.377,0.658,-5.589,0.0318,0.117,0.0,0.307,143.713
1179,AMERIKA,Rammstein,spotify:track:0HpMvhmhBnRBJ9iocNl16t,0.608,0.885,-4.296,0.0963,0.00258,1.33e-05,0.518,125.023
1180,Anarchy in the U.K.,Sex Pistols,spotify:track:3LoDeIbiR12sAznmpNEmKA,0.323,0.978,-3.841,0.118,0.0422,0.00019,0.168,134.222
1181,"Another Brick in the Wall, Pt. 2",Pink Floyd,spotify:track:4gMgiXfqyzZLMhsksGmbQV,0.694,0.394,-15.881,0.0428,0.0781,0.000677,0.719,104.126
1182,Another One Bites The Dust - Remastered 2011,Queen,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,0.933,0.528,-6.472,0.161,0.112,0.312,0.754,109.967
1183,Back In Black,AC/DC,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,-5.678,0.047,0.011,0.00965,0.763,188.386
1184,Be Quick Or Be Dead - 1998 Remastered Version,Iron Maiden,spotify:track:7kMZGMJlckd50Mhfaq7gVD,0.334,0.949,-6.451,0.0749,0.000185,0.00102,0.601,127.828
1185,Black Dog - 1990 Remaster,Led Zeppelin,spotify:track:0NSeXLBOh16zjbENkAu0P6,0.432,0.848,-8.095,0.0878,0.274,0.0344,0.743,81.201
1186,Black Sabbath,Black Sabbath,spotify:track:1udmPvJoBnqitbeYKKc9mc,0.344,0.449,-13.887,0.0421,0.0493,0.0278,0.123,132.809
1187,Blitzkrieg Bop - 2001 Remastered Version,Ramones,spotify:track:33iQW2OneB0oNh2NfrAzqW,0.547,0.733,-6.558,0.0433,0.0103,0.131,0.962,176.198
1188,Born To Be Wild,Steppenwolf,spotify:track:63OFKbMaZSDZ4wtesuuq6f,0.438,0.71,-12.412,0.0919,0.262,0.537,0.53,145.928
1189,The Boys Are Back In Town,Thin Lizzy,spotify:track:4QEbXYWpDDWHzXNINdZlzW,0.36,0.851,-5.542,0.0838,0.252,3.77e-06,0.683,79.39
1190,Break on Through (To the Other Side),The Doors,spotify:track:6ToM0uwxtPKo9CMpbPGYvM,0.421,0.751,-9.584,0.0472,0.2,0.0,0.789,89.839
1191,Breaking the Law,Judas Priest,spotify:track:2RaA6kIcvomt77qlIgGhCT,0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.491,164.019
1192,Brothers Of Metal (Part 1),Manowar,spotify:track:3tuCmmn6JmRXPln2Zt7KyI,0.566,0.917,-6.385,0.0615,5.54e-05,0.0725,0.554,164.297
1193,Burn - Remastered 2004,Deep Purple,spotify:track:1iW2ktyrQHNKZwFTvgP0Ta,0.387,0.94,-6.192,0.0376,0.0155,0.023,0.582,98.533
1194,Call for War,Grave Digger,spotify:track:2izcUDo0YrvnOBMnCTGUgf,0.167,0.992,-5.917,0.0925,1.08e-05,0.00412,0.173,170.159
1195,Child in Time - 1995 Remaster,Deep Purple,spotify:track:573Z2Dty5epeNgKsgoDOlr,0.344,0.497,-9.295,0.0366,0.0167,0.453,0.356,127.707
1196,Cocaine,Eric Clapton,spotify:track:6hDegaGv8VwBoMhGqoPfxR,0.696,0.58,-9.716,0.0265,0.0744,0.0212,0.683,105.172
1197,Comfortably Numb - 2011 Remastered Version,Pink Floyd,spotify:track:082cLCIXNPg2ruTrENz4Vt,0.472,0.366,-12.595,0.0286,0.15,0.308,0.171,127.167
1198,Cotton Fields,Creedence Clearwater Revival,spotify:track:0iIJ6t6HbI8CJnS7pmuCHb,0.57,0.649,-7.116,0.0283,0.186,0.0,0.872,148.522
1199,D'yer Mak'er - Remaster,Led Zeppelin,spotify:track:5uUhS7XDkyycNa5FaNfPGT,0.525,0.929,-8.56,0.0784,0.262,2.9e-05,0.556,163.503
1200,Don't Cry (Original),Guns N' Roses,spotify:track:2N2yrmodOnVF10mKvItC9P,0.456,0.59,-8.638,0.0327,0.00182,0.00379,0.243,124.635
1201,Don't Stop Me Now - Remastered 2011,Queen,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,0.559,0.868,-5.276,0.17,0.0475,0.000176,0.609,156.295
1202,Dream On,Ronnie James Dio,spotify:track:0gUiRGVtNJXSf3zlTmDOjv,0.322,0.625,-6.665,0.0305,0.0358,2.61e-06,0.245,156.043
1203,Dust in the Wind,Kansas,spotify:track:6zeE5tKyr8Nu882DQhhSQI,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.387,93.503
1204,Europa (Earth's Cry Heaven's Smile),Santana,spotify:track:5Yp3e8RcjYevBTZYJ7OD7s,0.296,0.669,-5.364,0.0452,0.03,0.831,0.679,74.692
1205,Every Breath You Take - Remastered 2003,The Police,spotify:track:5C0LFQARavkPpn7JgA4sLk,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.74,117.401
1206,Fear Of The Dark - 1998 Remastered Version,Iron Maiden,spotify:track:0P4JuEXYJmu2Q7BTtQW5nR,0.302,0.815,-8.756,0.0582,0.000762,0.00034,0.251,109.937
1208,Fireball - 1996 Remaster,Deep Purple,spotify:track:0G56RqAUXPAlhi3EfiGZ50,0.557,0.903,-12.029,0.058,0.000672,0.0052,0.908,121.267
1209,Flight Of Icarus - 1998 Remastered Version,Iron Maiden,spotify:track:4E45qDvLZmViXf6WL7hcMi,0.38,0.893,-6.332,0.0891,0.0524,9.19e-06,0.406,110.876
1211,Have You Ever Seen The Rain?,Creedence Clearwater Revival,spotify:track:0Jci9dBlCSDgL5ivMMSAQx,0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.774,116.109
1212,Heartbreaker - 1990 Remaster,Led Zeppelin,spotify:track:6WE7jSshLCuVKoCmobVKVf,0.403,0.709,-9.366,0.0885,0.0746,0.494,0.654,97.161
1213,Hells Bells,AC/DC,spotify:track:69QHm3pustz01CJRwdo20z,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.303,106.767
1214,Hey Jude - Remastered 2015,The Beatles,spotify:track:0aym2LBJBk9DAYuHHutrIl,0.386,0.607,-7.7,0.0261,0.0112,1.38e-05,0.532,147.207
1215,Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,-4.793,0.133,0.061,0.00158,0.423,115.728
1216,Holy Diver,Dio,spotify:track:54yLLvpezvPO1lA3GspiZj,0.473,0.783,-10.671,0.0869,0.0125,0.475,0.124,91.976
1217,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,spotify:track:7fSGbZLhWlAiCC3HDPAULu,0.725,0.853,-7.842,0.0353,0.0348,0.127,0.904,136.282
1218,Imagine - Remastered 2010,John Lennon,spotify:track:7pKfPomDEeI4TPT6EOYjn9,0.547,0.257,-12.358,0.0252,0.907,0.183,0.169,75.752
1219,Iron Man,Black Sabbath,spotify:track:5TFyNdCLlC1ZRuwczqaS97,0.339,0.824,-9.522,0.0938,0.00521,0.00432,0.538,154.573
1220,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,spotify:track:7nemcVsXVFZF01iqpIIo2Y,0.456,0.863,-3.551,0.0894,0.133,0.0538,0.532,135.962
1221,Kashmir - 1990 Remaster,Led Zeppelin,spotify:track:2nVHqZbOGkKWzlcy1aMbE7,0.48,0.536,-11.166,0.0427,0.488,4.22e-05,0.581,80.617
1222,La Grange - 2005 Remaster,ZZ Top,spotify:track:70YvYr2hGlS01bKRIho1HM,0.545,0.64,-9.937,0.224,0.00249,0.0304,0.606,80.544
1223,The Last In Line,Dio,spotify:track:3GRlvuFqGyc0FmJpvsKSMv,0.261,0.822,-8.481,0.0858,0.00218,0.184,0.64,175.741
1224,Last Man Standing,HammerFall,spotify:track:52p7YvOmvdCG714prT2Peo,0.533,0.803,-6.702,0.0376,0.0447,0.0,0.165,109.998
1225,Light My Fire,The Doors,spotify:track:5uvosCdMlFdTXhoazkTI5R,0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.44,124.618
1226,Live And Let Die - Main Title,Paul McCartney,spotify:track:0H06kL0mNCE9eSA2mRERBM,0.347,0.433,-13.206,0.0882,0.26,0.000413,0.202,77.246
1227,Livin' On A Prayer,Bon Jovi,spotify:track:4hXCYD2ah6Ak0wmrAxovV5,0.533,0.891,-3.822,0.0332,0.0842,0.00045,0.831,122.517
1228,Money,Pink Floyd,spotify:track:0vFOzaXqZHahrZp6enQwQb,0.469,0.537,-10.421,0.152,0.0241,0.00201,0.783,124.193
1229,Mother,Danzig,spotify:track:5JtuIHVfsYBFAVrHwjUddj,0.37,0.767,-9.435,0.0595,0.00868,0.00053,0.36,148.56
1230,Mother Russia - 1998 Remastered Version,Iron Maiden,spotify:track:2jRkQmG5m8zP5aceyarfMY,0.305,0.801,-7.776,0.0418,0.312,0.0339,0.372,94.0
1231,Mr. Crowley,Ozzy Osbourne,spotify:track:5XfWzGa5zuz88IOYbWNTMa,0.287,0.757,-6.482,0.0591,0.204,0.000294,0.357,108.554
1232,My Sharona,The Knack,spotify:track:1HOMkjp0nHMaTnfAkslCQj,0.586,0.7,-9.558,0.0363,0.0589,0.00125,0.897,147.245
1233,No One Like You,Scorpions,spotify:track:5hVepr5CHiTGtJY5bP4i5n,0.601,0.928,-4.38,0.0481,0.014,0.000113,0.625,115.999
1234,November Rain,Guns N' Roses,spotify:track:3YRCqOhFifThpSRFJ1VWFM,0.294,0.641,-9.316,0.0291,0.0163,0.22,0.226,79.759
1235,Painkiller,Judas Priest,spotify:track:0L7zm6afBEtrNKo6C6Gj08,0.435,0.987,-4.667,0.16,0.000195,0.0847,0.101,103.16
1236,People Are Strange,The Doors,spotify:track:1Jmqubf9kGkWeYQXQKImL5,0.699,0.467,-8.578,0.0375,0.685,0.0,0.764,119.287
1237,Perfect Strangers,Deep Purple,spotify:track:521gC8oqqmUknLZpodHOh9,0.521,0.721,-7.699,0.0254,0.00348,0.0113,0.611,97.578
