,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
101,Next World Awaits,Chill Beats Music,spotify:track:7HQq47HjT812GwQZaaFEW6,0.793,0.281,-10.79,0.0873,0.814,0.758,0.482,89.948
102,Beauty,Chill Beats Music,spotify:track:6EUUmzdCjRl3vXJjuPACFw,0.62,0.294,-11.477,0.0369,0.859,0.889,0.197,80.008
103,Guru Jazz / Dope Wax,Worldtraveller,spotify:track:1Ki1OiSsBhFgFhoQx2jN6R,0.777,0.222,-14.786,0.0737,0.0555,0.778,0.394,84.997
104,Veranda,Oaty.,spotify:track:17yupQl8zNOxvuJSSPnIRS,0.79,0.338,-13.089,0.0602,0.734,0.887,0.34,75.001
105,Reflection,Maadrhino,spotify:track:64cmP6CYyWIysqaUWGuMJY,0.851,0.129,-18.5,0.0809,0.875,0.936,0.719,120.023
106,Mellow Vibes,Zmeyev,spotify:track:2llkqYQ3fAcPRGJ1jGpWs7,0.764,0.491,-8.754,0.0664,0.618,0.812,0.474,90.028
107,Home Sweet Home,Chill Beats Music,spotify:track:1he13zavJnREhcqeFx92k6,0.718,0.226,-13.542,0.0657,0.77,0.819,0.173,80.01
108,Fading Mist,Mr. Käfer,spotify:track:6Zjsl9f98ywJ1T6yvMNFaZ,0.589,0.302,-12.464,0.0348,0.905,0.899,0.283,82.946
109,Feather Flight,BluntOne,spotify:track:7ayJ2rng5nZDnj1QxAdIgs,0.736,0.178,-11.69,0.0515,0.199,0.686,0.387,118.152
110,Time Travel,Kaspa.,spotify:track:7L6A9orD7a1k9ApdlicsFj,0.522,0.0426,-21.969,0.0344,0.953,0.536,0.17,81.088
111,After the Rain,Bcalm,spotify:track:7IjyZFEEAV8BeZvf6mkKNK,0.688,0.235,-13.752,0.0306,0.835,0.856,0.101,139.987
112,Gloom,mvnitou,spotify:track:32r7l0AY1m3v1gYEf33Sli,0.778,0.283,-10.115,0.389,0.826,0.528,0.365,76.948
113,District Line,7&Nine,spotify:track:1xMaqoFgvGhJ7If5NLcJg5,0.631,0.275,-14.524,0.0367,0.824,0.625,0.145,143.994
114,Ghost Planet,Purrple Cat,spotify:track:0q9e7CbZ5SCiFUjsCrjA3l,0.803,0.263,-15.742,0.0349,0.793,0.923,0.161,116.023
115,Stop,Goson,spotify:track:4fVKLNpMApddBUgLpvQ7IM,0.635,0.354,-9.377,0.0453,0.59,0.886,0.316,80.002
116,This Must Be Love,RenBoz,spotify:track:65Rtcl4zewEQMWBBaSafrO,0.823,0.513,-7.675,0.0474,0.514,0.393,0.497,83.018
117,Longing for Rain,SicknessMP,spotify:track:0g8cJnZnKIrKJOt74VyXDL,0.834,0.233,-13.418,0.0596,0.00224,0.729,0.762,86.094
118,Will You Fly With Me,Downtown Owl,spotify:track:56OB1wXrkYTAfPOTZUMA9M,0.76,0.387,-9.362,0.124,0.196,0.736,0.432,165.821
119,Time Consuming,Snoozegod,spotify:track:7h3TP14K4trKSjIAX2KdWj,0.757,0.461,-9.477,0.0313,0.265,0.123,0.353,108.999
120,enjoy the rain,l'Outlander,spotify:track:7Kd1JWvmqjf35Jrr3igX95,0.736,0.189,-14.269,0.043,0.644,0.924,0.195,85.005
121,Forgive Me,Zmeyev,spotify:track:0k47m9hEz8CvoZRlaKwvxw,0.787,0.166,-23.875,0.513,0.777,0.291,0.343,81.974
122,Connected,Hoffy Beats,spotify:track:5wVTJYRl4wmjz3n4rMxbRe,0.819,0.269,-11.507,0.0576,0.731,0.927,0.296,129.948
123,Evening Beach,Zmeyev,spotify:track:7tZqf6gDV2p8ubRglD2ONo,0.376,0.564,-6.574,0.043,0.0452,0.703,0.637,161.003
124,Backyard Gardens,coldbrew,spotify:track:1DBe8QicDCFsVMkWky11FH,0.896,0.453,-12.08,0.0641,0.183,0.619,0.933,137.957
125,Daydream,a boy with a balloon,spotify:track:7hCn3zD9FIrhnFwlIrnljr,0.885,0.258,-13.107,0.111,0.614,0.65,0.487,75.013
126,The Ending,Project AER,spotify:track:32Th4x5gm76vwVpB3oJVrD,0.691,0.15,-19.959,0.0339,0.933,0.901,0.195,134.039
127,Sundays,Yasumu,spotify:track:1vaLtlolIcllt16BWd6Akf,0.569,0.247,-19.126,0.0712,0.781,0.884,0.318,170.014
128,The Beginning,Project AER,spotify:track:6t68lkLl7M9cM89GZsE8Yc,0.534,0.253,-17.424,0.0374,0.623,0.938,0.186,134.004
129,After Hours,softy,spotify:track:2VpQcDWXbvkdwAxeWx89Kl,0.624,0.425,-9.207,0.0399,0.947,0.688,0.103,68.0
130,Rosemary,Phlocalyst,spotify:track:3NnjXzJV3COUw0UVBwcsZi,0.765,0.148,-12.358,0.0494,0.949,0.941,0.415,83.03
131,Cloud Curtain,Just Steezy Things,spotify:track:40j8NZbcRCCPlPkf09tmWE,0.596,0.173,-18.157,0.0415,0.862,0.935,0.143,150.013
132,Emotions,Sitting Duck,spotify:track:4Eh4y4YTJo2alVC69ABOzi,0.412,0.153,-17.506,0.0409,0.822,0.636,0.042,86.985
133,Ocean Glimmers,Loafy Building,spotify:track:1LXz7zjfgHbGiS3EIXzod4,0.699,0.191,-20.591,0.0494,0.876,0.84,0.184,140.024
134,Other Side,Project AER,spotify:track:3my7VxNjE4jTGPP4sZrju3,0.644,0.118,-16.884,0.0367,0.647,0.878,0.23,143.955
135,Leaning on You,Loafy Building,spotify:track:2UfBkjBkBXPz7kk64sq9yc,0.531,0.292,-14.262,0.0439,0.878,0.34,0.151,129.938
136,One Missed Call,vhsgus,spotify:track:2PhN5KneDSV5UgqWO1AF8l,0.76,0.273,-13.747,0.0564,0.937,0.756,0.363,80.029
137,Do I Rly Luv U,Enluv,spotify:track:5ngcReHEY4qenU3ujHDI0O,0.474,0.385,-11.055,0.134,0.286,0.0826,0.595,60.539
138,The Other Side,l'Outlander,spotify:track:7cuyHKud4AdxYAVgQWZlo5,0.577,0.164,-13.084,0.0424,0.237,0.893,0.254,160.178
139,Green Leaves,BubbleWild,spotify:track:6Vaxrjen5doVo4DAZRHUvZ,0.76,0.256,-9.859,0.279,0.0113,0.915,0.476,170.24
140,Away,Clément Matrat,spotify:track:4mnxszOLjMyoihR96gq8Pk,0.676,0.33,-13.639,0.0392,0.523,0.949,0.643,83.036
141,overthinking,l'Outlander,spotify:track:6pb6D25FOGKnLqy6etzGel,0.656,0.31,-11.937,0.109,0.388,0.9,0.233,170.013
142,Thank You,Bequem,spotify:track:4rstFksGeTM6yqrFdYkIxA,0.714,0.293,-9.568,0.0861,0.872,0.94,0.485,179.94
143,Serenity,Linearwave,spotify:track:4WJCO0QIYfNLEwchgfb3UA,0.727,0.181,-18.872,0.033,0.979,0.929,0.0759,126.009
144,Hip Hop Weekdays,Chill Beats Music,spotify:track:7xre34OXHr74FJ5TqK9jyu,0.817,0.431,-11.858,0.153,0.621,0.775,0.428,90.004
145,Chill Days,Zmeyev,spotify:track:4I2yX3dsILRoTTMfTrkYIE,0.797,0.365,-12.107,0.222,0.495,0.747,0.387,128.002
146,Imaginary Flowers,Aethers,spotify:track:7mAbJJPRCixg4wmwVApBBW,0.719,0.418,-9.1,0.0464,0.571,0.834,0.407,83.985
147,Warmer Together,lisnn,spotify:track:1PFBZIQJ5ETnT0f1zTSPQs,0.694,0.424,-9.584,0.0359,0.615,0.911,0.285,81.013
148,Late Night Walks,Hoffy Beats,spotify:track:3Wbl9hupuHewRayxWylyPd,0.54,0.152,-11.117,0.0312,0.933,0.938,0.0409,78.031
149,Every Night,Zmeyev,spotify:track:3YJfyZAiUqmliS5wh7W5mu,0.778,0.396,-11.539,0.0723,0.631,0.81,0.529,86.01
150,Lakeside Picnic,coldbrew,spotify:track:6sHs6c8lBr6MDSTqugoI7H,0.753,0.553,-13.551,0.11,0.584,0.944,0.506,141.969
151,Coco Cove,Oaty.,spotify:track:5wmTMe7AefHhus3D2oFHHr,0.785,0.468,-7.457,0.31,0.495,0.93,0.589,168.029
152,Night Stash,Kanopy,spotify:track:3xWiHuPGbbya65qi9c0DkJ,0.641,0.36,-13.123,0.242,0.615,0.757,0.584,128.791
153,Arcadia,Chill Beats Music,spotify:track:0zqbGwqA9LpOKyydkmCKmt,0.688,0.337,-14.207,0.055,0.4,0.863,0.192,80.007
154,When We Met,No Spirit,spotify:track:7bqgXhrtRhpLd69pqDy48L,0.646,0.372,-13.271,0.0664,0.92,0.919,0.356,129.883
155,Sunshine,a boy with a balloon,spotify:track:2rapmk62XOOQn9xRBLHYqp,0.943,0.729,-12.454,0.0852,0.367,0.702,0.567,125.041
156,Dawn,Teo,spotify:track:23KMcjfaIzNmf5eNQ0XQvr,0.777,0.292,-10.735,0.114,0.885,0.842,0.138,79.972
157,Zero Gravity,Purrple Cat,spotify:track:3Qusl4y1MvWP5CPEuPF3mx,0.775,0.22,-15.631,0.0843,0.732,0.606,0.185,110.03
158,Steel Rain,Karmawin,spotify:track:25USI8GEs1cmJqwRrBD3kE,0.788,0.384,-11.444,0.0374,0.141,0.691,0.613,89.995
159,Mr. Catchy,Sebastian Kamae,spotify:track:0fdzNZydTvnRBAFJrlmlKo,0.697,0.287,-10.989,0.0569,0.876,0.741,0.266,81.939
160,Moment of Leisure,Novvel,spotify:track:0DVaBW6x3nBegRQoN6Q1dJ,0.848,0.394,-10.102,0.465,0.927,0.572,0.388,156.032
161,Sunset Flight,goosetaf,spotify:track:273mcVxT4HpbzYaN0xVz1Q,0.437,0.371,-11.049,0.0359,0.943,0.891,0.165,147.624
162,Afternoon Rain,Farnell Newton,spotify:track:5mpUj2p05omEr65a7DIJLS,0.547,0.498,-9.575,0.0339,0.278,0.462,0.234,179.958
163,Music Man,Rudy Raw,spotify:track:6CprhdMXargdGO0N9ufaiE,0.81,0.819,-8.321,0.157,0.354,0.0828,0.95,135.453
164,Gente Tóxica (feat. Rozalén),ToteKing,spotify:track:5C4O45pAOHQ3WkRKmoAErk,0.66,0.746,-5.621,0.205,0.206,0.0,0.579,129.329
165,Bartleby & Co.,ToteKing,spotify:track:4NE2cVf0KZTQhZaueJ9pEa,0.421,0.829,-3.98,0.383,0.236,0.0,0.366,176.327
166,Veneno,ToteKing,spotify:track:4iaPYGq6Suf0FfSzpp1hfP,0.463,0.636,-6.268,0.289,0.696,0.0,0.733,85.414
167,No Lo Volveré a Hacer Más,Ska-P,spotify:track:2vKbFnXwDRpFqkN7dOaxpD,0.632,0.935,-5.667,0.0419,0.00523,0.0,0.969,153.958
168,A Chitón,Ska-P,spotify:track:3n0tFrdF646gQY9p1fCp7j,0.638,0.966,-4.931,0.0305,0.00459,0.011,0.887,99.988
169,El Vals del Obrero,Ska-P,spotify:track:4UjqoyfmarLo3Ub3LE19eC,0.505,0.835,-5.524,0.0685,0.0418,1.12e-06,0.674,102.097
170,Danza dell'autumno rosa,Talco,spotify:track:3qQsdqO1T3IrsaB87i6PAD,0.508,0.857,-4.741,0.0726,0.0429,2.62e-05,0.5,171.166
171,Bella ciao,Talco,spotify:track:0dDqNmSEXTh8S2DoLAGwJe,0.228,0.765,-7.339,0.0666,0.0475,0.00128,0.159,178.572
172,La torre,Talco,spotify:track:649jECsHeBdwatQiMIRmoW,0.48,0.91,-4.484,0.0491,0.00325,0.0121,0.911,160.054
173,Piedra Contra Tijera,Soziedad Alkoholika,spotify:track:05ZxYc1glaSTsNVbjBO9Ty,0.596,0.937,-5.043,0.0584,0.00212,0.000384,0.336,130.017
174,"Cuando Nada, Vale Nada",Soziedad Alkoholika,spotify:track:3YjhWiGHlxelJM6Lv28IBm,0.62,0.975,-2.477,0.08,0.00527,0.00317,0.535,131.93
175,Motxalo!,Soziedad Alkoholika,spotify:track:6QCeDgenjfiFNaJcbir0NB,0.403,0.856,-5.331,0.0442,0.00445,0.00426,0.775,132.075
176,Esclavos del Siglo XXI,Gatillazo,spotify:track:0tk6HwFFBSkbrn8sGKaZgq,0.486,0.968,-5.862,0.0559,0.000174,0.0,0.409,102.017
177,Cómo Convertirse en Nada,Gatillazo,spotify:track:7bZfAk1tgSGyIfpQZfOj3A,0.422,0.975,-3.535,0.0678,2.02e-05,0.0637,0.331,92.001
178,Fóllate al Lider,Gatillazo,spotify:track:1isG9AiSQCyMsaEPzQonWo,0.482,0.981,-3.48,0.0758,0.000322,0.0121,0.75,144.072
179,Voy a Celebrarlo,Lágrimas De Sangre,spotify:track:7Dd5p5mFpkZlEllO4Y7pCI,0.665,0.718,-8.06,0.238,0.354,0.0,0.782,95.065
